Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
1960,4648,7368,4232,6787,6045,2632,4469,3191,2279,51.17,48.26
1960,6043,7368,3240,6787,5650,2632,3473,3191,1546,55.05,44.72
1960,3851,7368,5330,6787,7244,2632,5772,3191,2977,50.739999999999995,49.04
1960,2871,7368,4339,6787,7147,2632,5767,3191,2853,51.5,48.25
1960,3948,7368,5276,6787,8750,2632,5016,3191,2408,46.489999999999995,53.21
1960,8019,7368,2717,6787,5155,2632,2380,3191,7686,41.22,58.45
1960,3942,7368,7846,6787,8076,2632,3672,3191,2043,46.04,53.800000000000004
1960,5029,7368,7749,6787,4351,2632,1639,3191,2363,47.04,52.73
1960,5129,7368,7742,6787,9062,2632,4664,3191,1069,47.11,52.449999999999996
1960,4030,7368,7422,6787,8246,2632,5466,3191,2073,47.599999999999994,52.190000000000005
1960,4137,7368,8039,6787,8462,2632,3455,3191,935,46.39,53.169999999999995
1960,4446,7368,6547,6787,1449,2632,2182,3191,5977,48.620000000000005,51.03
1960,4136,7368,8244,6787,5773,2632,2277,3191,7985,42.199999999999996,57.589999999999996
1960,6678,7368,7347,6787,3535,2632,3067,3191,819,42.3,57.38999999999999
1960,5612,7368,8140,6787,3037,2632,3969,3191,1684,48.17,51.53
1960,4138,7368,7843,6787,6059,2632,2844,3191,1220,46.52,53.2
1960,4627,7368,7842,6787,3848,2632,1832,3191,859,43.03,56.34
1960,5225,7368,8047,6787,5956,2632,1341,3191,2513,45.6,54.120000000000005
1960,5868,7368,7838,6787,3532,2632,2485,3191,5693,44.769999999999996,55.05
1960,2455,7368,7267,6787,2270,2632,4117,3191,8275,36.5,62.27
1960,5033,7368,7949,6787,4466,2632,1274,3191,1929,38.269999999999996,61.550000000000004
1960,3260,7368,7355,6787,7781,2632,2427,3191,2081,33.39,66.41
1960,2456,7368,6440,6787,7762,2632,5177,3191,1077,46.23,53.42
1960,2756,7368,6548,6787,8264,2632,6173,3191,2577,47.61,52.04
1960,1753,7368,5840,6787,6659,2632,9074,3191,4476,46.61,53.04
1960,3154,7368,6552,6787,6872,2632,2925,3191,2387,38.89,60.47
1960,2553,7368,7071,6787,6284,2632,3530,3191,7561,42.25,57.38999999999999
1960,3849,7368,6563,6787,4780,2632,1543,3191,4112,47.29,52.31
1960,5057,7368,2039,6787,7747,2632,5980,3191,3083,50.13999999999999,49.7
1960,3555,7368,7347,6787,8575,2632,2483,3191,5177,45.97,53.790000000000006
1960,3256,7368,7056,6787,5681,2632,2726,3191,2476,35.63,64.16
1960,4371,7368,6857,6787,2642,2632,4827,3191,1675,43.41,55.910000000000004
1960,3165,7368,5855,6787,2931,513,648,3191,2079,41.57,58.050000000000004
1960,3168,7368,7363,6787,3625,2632,1432,3191,7779,31.77,67.58999999999999
1960,3058,7368,7259,6787,5971,2632,3130,3191,1441,39.73,60.0
1960,4147,7368,7247,6787,3465,2632,2545,3191,4836,53.839999999999996,45.87
1960,3363,7368,6550,6787,8668,2632,2164,3191,3935,44.58,54.89000000000001
1960,2665,7368,5852,6787,6774,2632,5090,3191,8983,53.849999999999994,45.75
1960,2756,7368,7458,6787,5581,2632,3229,3191,3570,42.22,57.43000000000001
1960,1668,7368,4657,6787,2050,2632,6745,3191,2924,39.1,60.660000000000004
1960,2560,7368,7265,6787,6386,2632,2526,3191,1745,36.57,62.91
1960,2564,7368,7165,6787,1853,2632,2829,3191,2789,33.52,66.13
1960,3065,7368,7059,6787,1652,2632,3131,3191,1880,37.79,61.660000000000004
1960,5354,7368,8159,6787,8283,2632,3288,9730,1532,51.29,48.5
1960,5662,7368,8440,6787,2831,5392,3179,3191,8185,30.4,69.03
1960,5276,7368,8247,6787,4228,2632,1577,3191,8688,41.18,58.440000000000005
1960,2572,7368,7357,6787,3229,2632,8784,3191,1345,34.71,64.63
1960,5324,7368,1340,6787,5072,2632,1982,3191,8284,43.84,55.44
1960,1840,7368,7455,6787,4778,2632,7986,3191,3727,37.2,62.13999999999999
1960,3872,7368,7343,6787,3533,2632,8377,3191,931,37.87,61.89
1960,2259,7368,7265,6787,6587,2632,2831,3191,2068,35.86,63.56
1960,1365,7368,2756,6787,6964,2632,2930,3191,5091,37.55,61.82
1960,3368,7368,7359,6787,3739,2632,1038,3191,3116,38.37,61.339999999999996
1960,2759,7368,7561,6787,8890,2632,3893,3191,986,51.129999999999995,48.68
1960,4563,7368,7837,6787,1727,2632,9283,3191,1382,41.38,58.309999999999995
1960,4263,7368,7848,6787,2735,1355,5191,3191,8686,30.48,69.1
1960,1275,7368,5474,6787,6851,2632,3524,3191,1442,39.269999999999996,60.36
1960,4066,7368,8051,6787,3934,2632,1428,3191,1677,36.730000000000004,62.96000000000001
1960,3557,7368,7249,6787,2042,2632,4921,3191,5088,46.25,53.480000000000004
1960,2276,7368,7059,6787,2051,2632,3230,3191,5187,35.93,63.24999999999999
1960,2661,7368,6866,6787,6083,2632,2829,3191,1246,42.69,56.89999999999999
1960,3460,7368,6955,6787,2043,2632,2287,3191,5486,48.96,50.839999999999996
1960,3366,7368,6955,6787,2538,2632,4320,3191,5088,43.61,56.18
