Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
3952,9422,3102,8044,9404,1457,8259,4266,3818,5936,45.71,53.779999999999994
4326,755,5039,264,2733,2774,9209,6308,661,7898,49.419999999999995,50.41
8425,6087,4055,6129,6697,8489,1324,4065,7624,8859,43.230000000000004,55.84
5521,2296,2751,973,8656,1275,9983,8189,3949,2725,56.03,43.32
2407,377,2668,5433,5485,9072,7531,2618,9183,4653,53.580000000000005,46.0
6191,8532,3898,136,9355,5478,3433,5014,2674,4167,48.309999999999995,51.470000000000006
3420,8670,9132,6808,3414,8938,7734,5236,4421,9105,34.67,65.06
7091,102,2640,8378,6620,206,7894,4334,736,2501,65.0,34.68
3496,7891,4094,3592,6148,1035,947,1464,4199,4960,45.62,53.879999999999995
3466,8406,7510,145,9284,3677,5369,3519,1663,3176,55.82,44.06
4425,5139,789,1499,4415,9577,4180,3226,8047,3273,50.27,49.6
8533,5981,4055,3825,9789,5066,4653,5278,9697,2866,37.62,62.22
6343,5488,2932,7828,2364,6887,8339,2446,7339,4238,49.730000000000004,50.03999999999999
2684,2239,8996,9509,2083,4064,6334,1986,7265,2615,50.33,49.45
7076,4918,5942,5709,1858,7308,7631,3953,5822,4729,65.24,34.4
6317,5088,2112,3653,5275,7671,9986,487,3382,9735,49.13,50.61
3225,1961,9911,7593,9393,33,5812,1400,2829,8093,46.86,53.010000000000005
7645,9897,6380,3390,5890,5237,2772,9875,5371,5048,49.78,49.75
6585,2230,437,1920,6735,6699,4206,4568,520,8616,49.220000000000006,49.99
8533,1823,8381,7784,6033,211,3372,9151,1758,6602,58.64,41.06
2778,9823,3244,9556,7536,8911,2930,5678,5928,8300,62.660000000000004,37.01
2842,6286,6031,8417,1293,8871,7734,2113,7712,2055,43.11,56.699999999999996
4161,8420,9754,2976,6160,3703,448,8976,9097,5478,40.11,59.709999999999994
4019,6686,7860,9628,3910,7851,4021,8636,8627,7240,53.73,46.1
6583,858,2409,5945,3964,9786,1900,44,2406,1310,39.46,60.38
9693,3024,2517,3057,6329,4360,9201,8250,3394,7744,52.17,47.620000000000005
4066,1831,4163,7895,3786,1832,1448,5801,1298,7844,36.11,63.68000000000001
4425,3386,2659,4554,1376,3060,9735,5216,6788,8016,60.480000000000004,39.23
4075,3709,2607,6188,9019,5056,7478,2130,2446,7070,57.52,42.16
8806,3897,2122,7834,6360,5572,1595,5799,6218,3839,54.64,44.529999999999994
1595,216,6668,7601,919,358,4471,3288,6824,3001,67.34,32.49
1646,6777,6152,6831,1293,801,6001,8898,8266,5352,51.49,47.72
4531,9744,9266,8076,364,4516,7121,9784,6722,1706,55.489999999999995,44.31
957,264,2060,8100,4291,3829,7379,8939,7196,7128,45.09,54.6
2875,2028,6431,6303,1051,9167,6516,7535,5589,7788,49.66,50.239999999999995
957,6254,6510,3913,8867,6056,6645,3757,3527,8326,55.14,44.05
6290,2964,5625,8939,3090,9753,1342,395,4844,5964,59.84,40.02
3225,9881,1452,7911,3753,2847,5731,9394,8530,2815,60.35,39.43
5688,7606,8915,5431,646,6740,3482,4000,2516,6323,64.82,35.05
620,3390,7910,4794,5720,3296,359,2113,2068,7408,58.46,41.39
27,7117,4915,9603,6461,1021,1194,4100,7614,9233,68.53,30.919999999999998
904,3511,6216,6265,6884,1986,9826,8704,3156,7866,53.31,46.31
1433,3210,144,816,7829,9110,1494,8914,5131,6243,51.35999999999999,48.449999999999996
3225,8222,4978,6294,9327,9134,8883,6508,9647,5719,71.75,28.110000000000003
6914,4273,6400,8768,1509,2746,2267,3491,4189,6916,36.199999999999996,62.96000000000001
2236,4255,5470,2806,7563,1500,5143,9036,488,5774,53.13,46.660000000000004
2530,1043,9587,5260,7881,2789,359,5727,8739,7596,47.47,52.17
4634,3653,2757,8894,2268,9099,9151,851,5519,8244,53.16,46.67
5980,8004,3961,44,9355,8944,2922,7672,1009,4074,43.97,55.65
2975,2511,8050,5596,6632,2231,687,6763,3045,9131,48.230000000000004,51.22
3816,7153,8944,5938,3414,188,9046,9907,5972,4227,51.800000000000004,47.85
9453,3698,5588,1906,2346,1629,451,77,5822,9768,64.27000000000001,35.510000000000005
8126,2015,2931,598,5296,7706,3742,6847,520,7756,51.77,47.86
3967,2074,6043,8786,6471,9333,8020,7259,8331,3770,53.98,45.61
8567,9059,7676,1775,6302,2521,9955,5589,2989,9929,36.15,63.21
7435,197,1970,3906,713,5378,7841,4978,3022,8356,55.47,44.26
6204,2085,437,2592,6735,2700,4870,2937,3382,8311,61.01,38.53
6882,7477,2758,1240,8460,1945,4857,8997,8459,4612,53.76,46.12
4556,5821,1043,2284,5275,7710,6336,8613,8530,3472,63.580000000000005,36.17
5144,3228,8428,2598,7124,3812,3268,1676,5545,3119,57.769999999999996,41.760000000000005
4271,3849,8329,1388,1451,9741,7821,5856,4872,1750,46.43,53.09
6317,2095,437,5015,4829,148,5809,1897,3046,2618,59.209999999999994,40.6
4531,9980,9266,2170,3222,6163,6542,9552,4405,1415,38.379999999999995,61.260000000000005
1651,1626,9595,6148,6494,2343,687,9799,3045,6934,45.57,54.269999999999996
1912,3055,6095,1799,1649,8834,6516,890,4349,2661,65.14999999999999,34.5
4956,2103,5504,7790,3090,3980,9735,6399,7941,8711,54.339999999999996,45.47
2161,7378,3966,5588,263,1582,2069,3880,8828,2847,39.7,60.150000000000006
8225,5344,3020,629,3053,3670,8852,3178,7036,5943,56.79,42.809999999999995
6756,7925,9251,2057,5615,5754,8722,8804,934,6713,53.400000000000006,46.35
6575,4562,6018,9479,3628,7751,8874,6344,2454,8529,62.739999999999995,37.08
4428,4563,6427,1062,1044,8672,8449,7600,606,4492,45.879999999999995,53.74
7831,869,1011,1041,9837,1720,4714,9843,6855,8821,53.93,45.39
7367,4959,2845,3349,1716,6166,501,309,7882,8657,42.63,57.220000000000006
7441,669,4082,9661,7035,220,2545,5333,3795,7696,48.29,51.480000000000004
6165,7745,1952,9060,5324,2108,3503,6379,4583,6045,55.17999999999999,44.48
9083,1987,7165,9096,4320,3553,2620,3245,6363,2095,64.03,35.809999999999995
5179,9304,5960,3249,4309,541,2916,4195,8591,6388,51.339999999999996,48.47
3236,4962,1691,2317,4415,1016,6975,3565,7275,2810,67.86,31.979999999999997
4846,2183,5504,6337,9028,2032,535,4689,3375,2908,44.91,54.31
6185,4314,7369,394,4978,7663,3132,9508,7897,9431,50.46000000000001,49.230000000000004
6686,2168,7864,5082,8104,262,535,2124,6678,3271,50.74999999999999,48.93
6931,1543,1612,5042,713,7664,6363,109,7373,5366,47.06,52.61
4822,247,6396,7761,9599,2873,687,5868,3375,6101,43.46,56.35
4620,6729,747,2351,5275,2181,6975,5184,3437,3288,54.31,45.410000000000004
9845,5105,8730,6684,2535,1737,5457,3467,5337,5511,40.160000000000004,59.43000000000001
3305,4607,8020,1580,1220,1442,4071,725,9495,7575,49.29,50.36000000000001
351,8679,5134,6019,1362,4922,6903,3824,8652,2298,49.769999999999996,50.06
584,1172,6576,9496,6686,684,9826,8034,3633,6574,49.120000000000005,50.17
9125,3012,8423,2111,1243,8538,2604,6636,976,5962,39.12,60.629999999999995
4035,9613,3102,5523,9404,1470,6177,3798,4986,7694,48.0,51.66
2374,7571,5278,7107,5692,688,7433,5923,8150,2308,46.87,52.7
3867,7633,9367,1294,7283,3757,448,3224,1482,7383,39.0,60.709999999999994
6226,6436,6422,8775,2763,535,5791,2845,1839,5518,48.13,51.339999999999996
6882,3537,8565,8280,9378,4449,9871,5101,2347,5567,45.29,54.39000000000001
