Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
4305,9044,2681,4649,9009,5633,7183,5253,8122,9877,59.75,40.08
2352,7918,1679,6418,2674,4103,8477,3598,2446,9844,54.449999999999996,45.25
6585,5266,6422,3111,3991,1447,1006,8685,8874,7086,54.64,44.95
4181,3623,239,2145,3053,8245,6781,563,8812,7116,48.65,51.05
4588,1031,5039,4047,7568,6387,7424,3349,1482,844,64.05999999999999,35.68
2455,9026,6965,1649,3800,1204,8649,3100,4423,7172,52.580000000000005,47.160000000000004
3529,376,847,9960,5582,7745,5828,9179,7455,3316,56.57,43.25
969,347,8594,6057,7324,6558,3775,9947,3525,3882,61.870000000000005,37.89
7865,8065,7025,9852,5330,1462,3319,6151,2379,8317,56.06,43.269999999999996
2619,4985,5470,2688,4978,220,470,4946,6234,2575,64.1,35.64
4550,9504,2556,9790,5998,3650,7073,7855,3633,2664,53.11,46.739999999999995
8730,8884,2355,1795,6645,3709,4470,4714,2354,9225,49.62,49.9
4986,8425,1977,3934,1562,2522,8457,3667,6851,3893,47.31,52.190000000000005
8073,5939,8374,3323,4052,3053,1540,9180,6832,7571,43.7,56.00000000000001
6139,7171,582,1515,4039,9300,8870,7817,3019,5071,52.28,47.55
3957,5322,6482,4696,6457,2923,1551,2019,1874,5464,54.379999999999995,45.35
3532,4274,4208,4461,6457,7346,3731,6575,4421,1583,37.96,61.85000000000001
904,9307,3262,6692,6872,9200,7830,7189,6137,7323,74.44,25.330000000000002
8869,447,4167,4341,1208,1558,5339,2740,166,7430,60.42999999999999,39.26
2460,4500,5470,7424,6078,9340,4178,6049,7959,5427,55.83,44.07
3466,9353,1026,9105,2547,6985,7313,6377,3516,7429,56.720000000000006,43.08
3335,4549,8230,6243,8825,8618,3575,7010,1539,1497,56.79,42.970000000000006
4818,9353,8038,312,4083,9974,77,7922,9460,8216,66.43,33.4
7865,1230,2235,5893,8473,1592,7171,978,2974,7898,68.45,31.380000000000003
