Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
6925,2639,3172,4832,3145,6000,7493,7372,3382,8543,44.769999999999996,54.779999999999994
2455,2777,8630,2021,7178,4022,7114,855,2068,3548,52.5,47.099999999999994
8147,6550,2979,1463,1716,2944,969,5284,7760,2000,53.239999999999995,46.54
4579,9183,4680,6826,2132,1137,1679,3578,2287,5122,38.05,61.62
3335,1243,8078,1960,8224,1555,6624,1509,3456,3928,63.2,36.69
8469,1529,2931,4214,1981,2760,2632,2186,3382,1721,51.53,48.230000000000004
1332,9153,6965,1820,8125,827,2467,1389,1911,7459,68.71000000000001,30.959999999999997
8547,9731,3924,5232,8074,3877,5662,2249,968,5182,52.59,47.17
7264,9966,2374,6641,8074,1778,1646,3569,8627,6607,52.09,47.349999999999994
5980,3782,6954,3713,7019,728,2818,7249,3141,1698,56.99999999999999,42.69
4782,4583,3734,4392,7032,6259,6730,2067,6424,1757,53.38,46.29
1766,8571,3540,6568,2988,4291,7749,1907,2561,9024,45.910000000000004,53.92
8142,7172,1947,2151,3639,8042,8870,5379,6723,1476,58.550000000000004,41.199999999999996
6016,790,1476,8058,929,1097,6743,194,4469,3738,65.51,34.36
2875,8939,3244,1331,7519,711,5312,4505,7582,2815,69.26,30.580000000000002
8469,744,1973,1347,4093,1293,4625,7953,1619,8564,64.49000000000001,35.18
6061,5016,8737,3363,3721,7171,4625,1015,440,2273,42.27,57.589999999999996
3335,507,5416,4932,6884,4330,7979,5772,2668,6858,63.05,36.49
3335,5911,7574,129,1187,1911,3132,6007,6824,2269,64.16,35.72
6685,9434,6666,3618,2132,8597,7637,8549,6137,9615,65.96,33.910000000000004
6127,5875,8737,6794,3882,5732,3026,9956,6722,3010,57.84,41.6
5980,7676,582,4257,2132,2561,7965,8490,3437,7327,53.02,46.760000000000005
5362,7520,8026,89,3158,7962,8167,5491,3920,163,59.58,39.57
8015,8769,7025,9443,3882,6479,1658,8634,3516,1581,60.650000000000006,39.2
7979,7125,7273,6786,6403,4516,1658,8451,8122,4094,48.55,51.129999999999995
6536,4167,8238,1509,4186,7116,8121,6113,3849,4239,58.42,41.370000000000005
6685,9893,4765,9347,2325,5501,1632,4315,8627,4780,57.099999999999994,42.480000000000004
4329,811,8717,4674,8292,8261,4768,8318,2878,7663,57.93000000000001,41.83
3602,143,1543,672,5272,1639,7073,1026,5124,9670,62.980000000000004,36.33
3913,5462,7574,1149,7519,3425,5454,2739,3920,3500,52.15,47.18
7947,1492,2235,9929,6620,3539,7478,1448,2974,6297,63.72,36.09
2453,2936,8630,3590,4978,7952,2247,8406,4540,6490,40.8,58.86
7119,3402,1544,5647,8529,9101,2930,5246,5727,4018,51.370000000000005,48.46
1711,231,3471,1534,2975,8975,1551,3222,7534,6268,56.269999999999996,43.61
