Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
9108,1598,4698,6494,4581,8574,9927,3521,3101,9171,41.93,57.730000000000004
7366,8585,2267,9571,3449,6058,1353,2553,4150,4806,46.36,53.21
8156,1600,3993,5156,6525,5675,4409,4603,777,259,56.19,43.419999999999995
5195,2099,2139,7504,7146,1860,6300,2913,3124,3169,58.53,41.160000000000004
8115,7283,2744,9082,1559,1767,9882,8542,4878,6998,62.0,37.419999999999995
6832,6913,1198,5375,3323,7127,1782,3597,1283,3503,47.0,52.73
6212,5340,96,3056,3875,3194,1845,4451,2086,4034,57.48,41.959999999999994
5824,2680,5373,3410,5520,678,2189,9974,2433,6662,55.16,44.64
7731,7616,9590,3511,7797,9306,2785,297,7744,7549,46.57,53.22
4127,1980,4163,498,700,1462,2324,2731,7290,2743,75.03999999999999,24.81
9614,3574,2798,3081,3389,209,2130,4812,1268,3230,48.3,51.55
8336,849,7477,7414,2988,7532,8305,7463,2851,2023,51.06,47.82
6591,5543,6955,4144,6494,6248,927,8616,3617,6342,59.75,39.900000000000006
4444,3944,1418,6106,5114,3738,4802,2711,5048,6528,47.92,51.790000000000006
2531,8635,8297,7030,890,9609,731,418,1369,9035,59.809999999999995,40.04
1669,6390,9566,8735,6828,3813,4181,5906,8382,9809,57.48,42.309999999999995
8575,9721,6666,1341,2728,2744,1085,6101,8005,8987,60.58,38.83
1597,132,2286,5998,671,801,3386,5294,6401,225,55.28999999999999,44.379999999999995
3815,2334,4254,2913,2686,6324,9219,2907,4335,3259,61.919999999999995,37.95
4875,3019,1902,8131,5611,6122,8597,5733,8990,6434,55.31,44.51
4433,5449,6733,1558,2898,2229,6052,8780,4180,6657,48.199999999999996,51.43
2565,1324,7321,4357,882,1172,9590,9196,648,836,54.03,45.59
2323,8779,1426,9100,7156,7919,3714,6772,1341,9228,54.190000000000005,45.61
5526,991,3689,63,8672,8597,3886,3472,4697,5326,45.48,53.65
2453,9947,2883,367,1671,8496,7113,9712,1917,2878,59.150000000000006,40.739999999999995
9613,4240,6461,7610,9178,1563,6981,9586,589,3266,40.07,59.709999999999994
9219,7280,7689,5422,8194,3740,116,6846,4284,223,43.25,56.589999999999996
8304,2777,3044,6728,8022,7104,4870,7967,5245,4733,44.800000000000004,54.769999999999996
9366,5755,6342,6480,7371,6348,6301,8807,565,4396,62.339999999999996,36.78
4817,6122,1484,2657,9920,6328,4864,2927,5084,8570,43.519999999999996,56.28999999999999
9836,3724,781,7985,5327,5065,5953,3183,2345,3425,54.03,45.81
4269,8158,120,1319,5188,4137,7712,8704,3227,4066,45.95,53.59
1199,4451,1908,9151,7478,5697,5125,814,7168,6961,48.54,51.28
1477,4420,3821,7138,2765,4866,8125,3137,5811,9967,44.9,54.910000000000004
72,459,1476,341,7707,1246,2376,5577,7388,896,53.169999999999995,46.62
6546,3208,7925,8096,5678,3162,3035,7976,3641,3604,52.849999999999994,46.96
6660,9653,3513,3383,761,1352,1018,9266,7481,5955,47.4,52.35999999999999
1070,23,4573,3050,5281,7786,673,1158,3274,9382,28.27,71.50999999999999
3880,4314,1428,7702,5051,8758,8870,3921,4370,9696,60.17,39.67
1908,3934,736,2651,9765,367,2625,6333,916,3890,34.29,65.49000000000001
4910,666,3436,1153,8181,6715,2583,6043,3877,6986,51.870000000000005,47.96
8704,3185,2477,5920,1667,5897,4644,9925,5892,3772,57.26,42.59
6167,1368,1890,7551,6710,5082,4701,1498,4946,5056,52.99,46.489999999999995
4886,2091,9967,6950,9492,9547,412,3969,1768,1378,46.25,53.54
9819,5215,1945,4138,4059,6657,2647,9288,3357,533,41.839999999999996,57.92
8469,3504,1679,283,7148,1307,4110,9136,1153,1405,73.83,25.75
7737,1047,5707,5332,8413,6556,8298,6777,1033,5600,41.28,58.18
3472,2137,9498,2555,6020,6764,252,5355,4718,7928,46.129999999999995,53.71
4533,7456,6724,8712,904,4729,1788,3647,128,8049,43.21,56.44
2662,18,1236,6134,7278,8666,7531,3918,2135,7786,58.730000000000004,41.07
5422,8611,5468,9916,7963,707,3868,6467,8721,1561,58.620000000000005,41.160000000000004
8665,5466,2201,1872,656,8280,6198,5375,3613,9818,48.05,51.76
7758,7611,4923,3704,2924,8032,6521,135,4821,2892,47.81,52.01
9716,2538,5560,1450,4279,7829,3710,8502,484,7708,60.08,39.660000000000004
6291,4854,3525,4550,9929,1921,4206,697,9226,2139,51.92,47.8
6363,9884,9773,3882,6165,4136,9380,992,1360,8137,33.910000000000004,65.85
3497,4463,564,3658,7039,2280,202,5216,7262,1872,57.96,41.9
8907,4952,4000,9440,8024,7571,4463,3909,2191,7910,40.89,58.87
4816,3039,208,9914,3642,3026,80,186,2500,6572,36.75,63.1
9819,9078,2833,3035,5640,2591,3827,8928,2063,8011,49.8,49.669999999999995
8840,6935,6802,6705,1401,3177,6176,7960,9087,49,40.050000000000004,59.64
1758,6886,5791,1479,6831,6709,7977,1365,8310,838,56.05,43.76
8996,8093,1855,195,7979,2178,7798,7877,5460,7665,60.97,38.83
482,9124,4656,735,1148,9809,4121,2004,6747,7178,54.87,45.0
4467,8006,4589,1690,1268,699,567,8807,576,9318,62.81,36.720000000000006
2864,1588,8211,9986,4563,3699,9521,9123,7487,7507,56.489999999999995,43.25
2160,2109,5555,1210,2551,8979,7821,9190,4880,6094,66.75999999999999,33.06
6474,1915,9623,2131,6554,5284,2443,2982,605,3145,53.52,46.31
7024,9537,7782,8697,8191,794,5553,2284,6837,7221,56.98,42.91
5581,4132,5229,1945,6856,6336,9905,6712,7798,5615,46.98,52.44
5592,4519,8238,3714,4367,3305,1006,3209,4373,8614,71.52,28.32
1642,3537,4834,2202,1815,3852,2829,4820,5705,2488,47.78,51.57000000000001
7913,3909,2693,6347,4991,9463,542,8104,6961,2341,49.14,50.660000000000004
8415,1159,1296,7378,2995,5430,4794,9372,2382,2329,32.39,67.47
7514,6635,3903,3882,117,5494,1528,8747,8706,8750,38.440000000000005,61.419999999999995
5826,234,5086,6305,8575,9122,8632,4309,5590,2865,47.44,52.44
1449,7770,1242,2980,5829,8034,6678,4535,5357,3870,44.42,55.38999999999999
5639,1564,3865,3722,145,7859,657,8500,770,2095,35.96,63.72
5272,4843,9505,5080,9652,2278,9292,5585,3,683,47.06,52.669999999999995
5439,584,6559,6270,5247,4039,1180,9956,1763,5579,43.91,55.36
6896,1568,5696,1804,6533,4677,1559,2519,6838,9928,48.05,51.73
6710,3792,7287,4617,652,2787,7444,7422,4164,2572,56.589999999999996,42.64
766,1840,663,672,486,4413,1499,1770,598,6538,12.950000000000001,86.87
